b_tiksii;Tiksii;Tiksii;Tiksii;Tiksii;Tiksii;;;;;;;;;x
b_deputatsky;Deputatsky;Deputatsky;Deputatsky;Deputatsky;Deputatsky;;;;;;;;;x
b_yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;;;;;;;;;x
b_namtsy;Namtsy;Namtsy;Namtsy;Namtsy;Namtsy;;;;;;;;;x
b_polurovsk;Polurovsk;Polurovsk;Polurovsk;Polurovsk;Polurovsk;;;;;;;;;x
b_maiyaa;Maiyaa;Maiyaa;Maiyaa;Maiyaa;Maiyaa;;;;;;;;;x
b_uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;;;;;;;;;x
b_tommott;Tommott;Tommott;Tommott;Tommott;Tommott;;;;;;;;;x
b_amgaa;Amgaa;Amgaa;Amgaa;Amgaa;Amgaa;;;;;;;;;x
b_verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;;;;;;;;;x
b_indigirkan;Indigirkan;Indigirkan;Indigirkan;Indigirkan;Indigirkan;;;;;;;;;x
b_zhigansk;Zhigansk;Zhigansk;Zhigansk;Zhigansk;Zhigansk;;;;;;;;;x
b_urkan;Urkan;Urkan;Urkan;Urkan;Urkan;;;;;;;;;x
b_muhy;Muhy;Muhy;Muhy;Muhy;Muhy;;;;;;;;;x
b_suntarr;Suntarr;Suntarr;Suntarr;Suntarr;Suntarr;;;;;;;;;x
b_butalsk;Butalsk;Butalsk;Butalsk;Butalsk;Butalsk;;;;;;;;;x
b_ustnera;Ustnera;Ustnera;Ustnera;Ustnera;Ustnera;;;;;;;;;x
b_khonua;Khonua;Khonua;Khonua;Khonua;Khonua;;;;;;;;;x
b_jugjur;Jugjur;Jugjur;Jugjur;Jugjur;Jugjur;;;;;;;;;x
b_laptevve;Laptevve;Laptevve;Laptevve;Laptevve;Laptevve;;;;;;;;;x
b_antimmony;Antimmony;Antimmony;Antimmony;Antimmony;Antimmony;;;;;;;;;x
b_kharyaa;Kharyaa;Kharyaa;Kharyaa;Kharyaa;Kharyaa;;;;;;;;;x
b_kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;;;;;;;;;x
b_chokurdakh;Chokurdakh;Chokurdakh;Chokurdakh;Chokurdakh;Chokurdakh;;;;;;;;;x
b_belaya;Belaya;Belaya;Belaya;Belaya;Belaya;;;;;;;;;x
b_goraa;Goraa;Goraa;Goraa;Goraa;Goraa;;;;;;;;;x
b_kolyma;Kolyma;Kolyma;Kolyma;Kolyma;Kolyma;;;;;;;;;x
b_verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;;;;;;;;;x
b_sredngkolymak;Sredngkolymak;Sredngkolymak;Sredngkolymak;Sredngkolymak;Sredngkolymak;;;;;;;;;x
b_chorlky;Chorlky;Chorlky;Chorlky;Chorlky;Chorlky;;;;;;;;;x
c_chuna;Chuna;Chuna;Chuna;Chuna;Chuna;;;;;;;;;x
c_chuna_adj;Chuna;Chuna;Chuna;Chuna;Chuna;;;;;;;;;x
c_bratsk;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;;;;;;;;;x
c_bratsk_adj;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;;;;;;;;;x
c_seganka;Seganka;Seganka;Seganka;Seganka;Seganka;;;;;;;;;x
c_seganka_adj;Seganka;Seganka;Seganka;Seganka;Seganka;;;;;;;;;x
c_ilimsk;Ilimsk;Ilimsk;Ilimsk;Ilimsk;Ilimsk;;;;;;;;;x
c_ilimsk_adj;Ilimsk;Ilimsk;Ilimsk;Ilimsk;Ilimsk;;;;;;;;;x
c_nubiah;Nubiah;Nubiah;Nubiah;Nubiah;Nubiah;;;;;;;;;x
c_nubiah_adj;Nubiah;Nubiah;Nubiah;Nubiah;Nubiah;;;;;;;;;x
c_yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;;;;;;;;;x
c_yakutsk_adj;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;;;;;;;;;x
c_uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;;;;;;;;;x
c_uchurskoye_adj;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;Uchurskoye;;;;;;;;;x
c_verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;;;;;;;;;x
c_verkohzehkoys_adj;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;Verkohzehkoys;;;;;;;;;x
c_urkan;Urkan;Urkan;Urkan;Urkan;Urkan;;;;;;;;;x
c_urkan_adj;Urkan;Urkan;Urkan;Urkan;Urkan;;;;;;;;;x
c_butalsk;Butalsk;Butalsk;Butalsk;Butalsk;Butalsk;;;;;;;;;x
c_butalsk_adj;Butalsk;Butalsk;Butalsk;Butalsk;Butalsk;;;;;;;;;x
c_jugjur;Jugjur;Jugjur;Jugjur;Jugjur;Jugjur;;;;;;;;;x
c_jugjur_adj;Jugjur;Jugjur;Jugjur;Jugjur;Jugjur;;;;;;;;;x
c_kharyaa;Kharyaa;Kharyaa;Kharyaa;Kharyaa;Kharyaa;;;;;;;;;x
c_kharyaa_adj;Kharyaa;Kharyaa;Kharyaa;Kharyaa;Kharyaa;;;;;;;;;x
c_kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;;;;;;;;;x
c_kamnuskov_adj;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;Kamnuskov;;;;;;;;;x
c_verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;;;;;;;;;x
c_verkhoyensk_adj;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;Verkhoyensk;;;;;;;;;x
